排名,代码,名称,最新价,成交额(亿元)
1,SH.600487,亨通光电,97.0,215.31
2,SH.603986,兆易创新,481.47,202.02
3,SZ.002384,东山精密,217.55,174.65
4,SZ.000725,京东方A,5.57,167.41
5,SH.600522,中天科技,48.6,165.33
6,SH.600183,生益科技,151.28,149.74
7,SH.601899,紫金矿业,29.09,147.18
8,SH.600498,烽火通信,63.13,138.68
9,SH.600584,长电科技,68.92,133.59
10,SZ.000636,风华高科,59.12,131.13
11,SZ.000657,中钨高新,79.0,130.18
12,SZ.002428,云南锗业,92.26,118.55
13,SH.600549,厦门钨业,64.8,110.6
14,SH.601138,工业富联,70.13,104.33
15,SZ.002407,多氟多,39.67,104.3
16,SZ.002371,北方华创,667.19,102.74
17,SZ.001309,德明利,617.43,98.61
18,SZ.000063,中兴通讯,36.35,97.03
19,SZ.000988,华工科技,151.01,95.98
20,SZ.002463,沪电股份,125.2,95.97
21,SZ.002409,雅克科技,132.99,91.33
22,SZ.002475,立讯精密,63.76,89.87
23,SH.600176,中国巨石,41.61,89.37
24,SZ.002281,光迅科技,204.97,88.99
25,SZ.002156,通富微电,57.22,86.86
26,SH.603993,洛阳钼业,19.11,85.1
27,SH.601208,东材科技,61.06,77.26
28,SZ.002636,金安国纪,89.88,75.8
29,SH.600869,远东股份,32.43,75.79
30,SH.600111,北方稀土,49.43,75.38
